id,field,gt,pred
10013,promise_status,No,Yes
10027,promise_status,No,Yes
10036,promise_status,No,Yes
10038,promise_status,Yes,No
10043,promise_status,No,Yes
10044,promise_status,No,Yes
10051,promise_status,No,Yes
10058,promise_status,No,Yes
10066,promise_status,No,Yes
10068,promise_status,No,Yes
10069,promise_status,No,Yes
10070,promise_status,No,Yes
10082,promise_status,No,Yes
10093,promise_status,No,Yes
10097,promise_status,No,Yes
10104,promise_status,No,Yes
10109,promise_status,No,Yes
10124,promise_status,No,Yes
10130,promise_status,No,Yes
10131,promise_status,No,Yes
10133,promise_status,No,Yes
10163,promise_status,No,Yes
10164,promise_status,Yes,No
10165,promise_status,Yes,No
10167,promise_status,No,Yes
10173,promise_status,No,Yes
10189,promise_status,No,Yes
10195,promise_status,No,Yes
10201,promise_status,No,Yes
10203,promise_status,No,Yes
10209,promise_status,No,Yes
10221,promise_status,No,Yes
10223,promise_status,No,Yes
10234,promise_status,No,Yes
10250,promise_status,No,Yes
10256,promise_status,No,Yes
10263,promise_status,No,Yes
10265,promise_status,No,Yes
10272,promise_status,No,Yes
10277,promise_status,No,Yes
10294,promise_status,No,Yes
10305,promise_status,Yes,No
10309,promise_status,No,Yes
10313,promise_status,No,Yes
10328,promise_status,No,Yes
10330,promise_status,No,Yes
10339,promise_status,No,Yes
10347,promise_status,No,Yes
10350,promise_status,No,Yes
10353,promise_status,No,Yes
10354,promise_status,No,Yes
10355,promise_status,No,Yes
10356,promise_status,Yes,No
10359,promise_status,No,Yes
10375,promise_status,No,Yes
10388,promise_status,No,Yes
10389,promise_status,No,Yes
10393,promise_status,No,Yes
10399,promise_status,No,Yes
10412,promise_status,No,Yes
10420,promise_status,No,Yes
10423,promise_status,No,Yes
10424,promise_status,No,Yes
10428,promise_status,No,Yes
10432,promise_status,Yes,No
10443,promise_status,No,Yes
10452,promise_status,No,Yes
10453,promise_status,No,Yes
10456,promise_status,No,Yes
10478,promise_status,No,Yes
10483,promise_status,No,Yes
10489,promise_status,No,Yes
10501,promise_status,No,Yes
10503,promise_status,No,Yes
10506,promise_status,No,Yes
10525,promise_status,No,Yes
10529,promise_status,Yes,No
10539,promise_status,No,Yes
10541,promise_status,No,Yes
10573,promise_status,No,Yes
10582,promise_status,No,Yes
10590,promise_status,No,Yes
10603,promise_status,No,Yes
10605,promise_status,No,Yes
10609,promise_status,No,Yes
10611,promise_status,No,Yes
10612,promise_status,No,Yes
10640,promise_status,No,Yes
10642,promise_status,No,Yes
10654,promise_status,No,Yes
10660,promise_status,No,Yes
10670,promise_status,No,Yes
10672,promise_status,No,Yes
10680,promise_status,No,Yes
10682,promise_status,No,Yes
10687,promise_status,No,Yes
10688,promise_status,No,Yes
10694,promise_status,No,Yes
10713,promise_status,No,Yes
10718,promise_status,No,Yes
10721,promise_status,No,Yes
10733,promise_status,No,Yes
10748,promise_status,No,Yes
10758,promise_status,No,Yes
10761,promise_status,No,Yes
10771,promise_status,Yes,No
10779,promise_status,No,Yes
10790,promise_status,No,Yes
10793,promise_status,No,Yes
10797,promise_status,No,Yes
10799,promise_status,No,Yes
10801,promise_status,No,Yes
10802,promise_status,No,Yes
10804,promise_status,No,Yes
10806,promise_status,No,Yes
10807,promise_status,No,Yes
10816,promise_status,No,Yes
10821,promise_status,No,Yes
10826,promise_status,No,Yes
10839,promise_status,No,Yes
10848,promise_status,No,Yes
10852,promise_status,No,Yes
10859,promise_status,No,Yes
10860,promise_status,No,Yes
10863,promise_status,No,Yes
10864,promise_status,No,Yes
10877,promise_status,No,Yes
10879,promise_status,No,Yes
10881,promise_status,No,Yes
10885,promise_status,No,Yes
10893,promise_status,No,Yes
10899,promise_status,No,Yes
10902,promise_status,No,Yes
10903,promise_status,No,Yes
10908,promise_status,No,Yes
10918,promise_status,No,Yes
10929,promise_status,No,Yes
10942,promise_status,No,Yes
10943,promise_status,No,Yes
10945,promise_status,No,Yes
10951,promise_status,No,Yes
10952,promise_status,No,Yes
10961,promise_status,No,Yes
10967,promise_status,No,Yes
10970,promise_status,No,Yes
10971,promise_status,No,Yes
10973,promise_status,No,Yes
10980,promise_status,No,Yes
10982,promise_status,No,Yes
10983,promise_status,No,Yes
10984,promise_status,No,Yes
10985,promise_status,No,Yes
10986,promise_status,No,Yes
10990,promise_status,No,Yes
10994,promise_status,No,Yes
10996,promise_status,No,Yes
10017,evidence_status,Yes,No
10022,evidence_status,No,Yes
10025,evidence_status,Yes,No
10035,evidence_status,Yes,No
10037,evidence_status,No,Yes
10045,evidence_status,Yes,No
10046,evidence_status,Yes,No
10050,evidence_status,No,Yes
10053,evidence_status,Yes,No
10059,evidence_status,No,Yes
10060,evidence_status,Yes,No
10071,evidence_status,Yes,No
10072,evidence_status,Yes,No
10086,evidence_status,Yes,No
10091,evidence_status,No,Yes
10094,evidence_status,Yes,No
10105,evidence_status,Yes,No
10115,evidence_status,Yes,No
10117,evidence_status,No,Yes
10127,evidence_status,No,Yes
10136,evidence_status,No,Yes
10149,evidence_status,Yes,No
10154,evidence_status,Yes,No
10158,evidence_status,No,Yes
10161,evidence_status,Yes,No
10164,evidence_status,Yes,No
10165,evidence_status,Yes,No
10170,evidence_status,Yes,No
10172,evidence_status,No,Yes
10174,evidence_status,No,Yes
10181,evidence_status,No,Yes
